bits_1_11,note_count,notes
216,5,C E F G A♭
217,6,C D♭ E F G A♭
218,6,C D E F G A♭
219,7,C D♭ D E F G A♭
220,6,C E♭ E F G A♭
221,7,C D♭ E♭ E F G A♭
222,7,C D E♭ E F G A♭
223,8,C D♭ D E♭ E F G A♭
224,4,C F♯ G A♭
225,5,C D♭ F♯ G A♭
226,5,C D F♯ G A♭
227,6,C D♭ D F♯ G A♭
228,5,C E♭ F♯ G A♭
229,6,C D♭ E♭ F♯ G A♭
230,6,C D E♭ F♯ G A♭
231,7,C D♭ D E♭ F♯ G A♭
232,5,C E F♯ G A♭
233,6,C D♭ E F♯ G A♭
234,6,C D E F♯ G A♭
235,7,C D♭ D E F♯ G A♭
236,6,C E♭ E F♯ G A♭
237,7,C D♭ E♭ E F♯ G A♭
238,7,C D E♭ E F♯ G A♭
239,8,C D♭ D E♭ E F♯ G A♭
240,5,C F F♯ G A♭
241,6,C D♭ F F♯ G A♭
242,6,C D F F♯ G A♭
243,7,C D♭ D F F♯ G A♭
244,6,C E♭ F F♯ G A♭
245,7,C D♭ E♭ F F♯ G A♭
246,7,C D E♭ F F♯ G A♭
247,8,C D♭ D E♭ F F♯ G A♭
248,6,C E F F♯ G A♭
249,7,C D♭ E F F♯ G A♭
250,7,C D E F F♯ G A♭
251,8,C D♭ D E F F♯ G A♭
252,7,C E♭ E F F♯ G A♭
253,8,C D♭ E♭ E F F♯ G A♭
254,8,C D E♭ E F F♯ G A♭
255,9,C D♭ D E♭ E F F♯ G A♭
256,2,C A
257,3,C D♭ A
258,3,C D A
259,4,C D♭ D A
260,3,C E♭ A
261,4,C D♭ E♭ A
262,4,C D E♭ A
263,5,C D♭ D E♭ A
264,3,C E A
265,4,C D♭ E A
266,4,C D E A
267,5,C D♭ D E A
268,4,C E♭ E A
269,5,C D♭ E♭ E A
270,5,C D E♭ E A
271,6,C D♭ D E♭ E A
272,3,C F A
273,4,C D♭ F A
274,4,C D F A
275,5,C D♭ D F A
276,4,C E♭ F A
277,5,C D♭ E♭ F A
278,5,C D E♭ F A
279,6,C D♭ D E♭ F A
280,4,C E F A
281,5,C D♭ E F A
282,5,C D E F A
283,6,C D♭ D E F A
284,5,C E♭ E F A
285,6,C D♭ E♭ E F A
286,6,C D E♭ E F A
287,7,C D♭ D E♭ E F A
288,3,C F♯ A
289,4,C D♭ F♯ A
290,4,C D F♯ A
291,5,C D♭ D F♯ A
292,4,C E♭ F♯ A
293,5,C D♭ E♭ F♯ A
294,5,C D E♭ F♯ A
295,6,C D♭ D E♭ F♯ A
296,4,C E F♯ A
297,5,C D♭ E F♯ A
298,5,C D E F♯ A
299,6,C D♭ D E F♯ A
300,5,C E♭ E F♯ A
301,6,C D♭ E♭ E F♯ A
302,6,C D E♭ E F♯ A
303,7,C D♭ D E♭ E F♯ A
304,4,C F F♯ A
305,5,C D♭ F F♯ A
306,5,C D F F♯ A
307,6,C D♭ D F F♯ A
308,5,C E♭ F F♯ A
309,6,C D♭ E♭ F F♯ A
310,6,C D E♭ F F♯ A
311,7,C D♭ D E♭ F F♯ A
312,5,C E F F♯ A
313,6,C D♭ E F F♯ A
314,6,C D E F F♯ A
315,7,C D♭ D E F F♯ A
316,6,C E♭ E F F♯ A
317,7,C D♭ E♭ E F F♯ A
318,7,C D E♭ E F F♯ A
319,8,C D♭ D E♭ E F F♯ A
320,3,C G A
321,4,C D♭ G A
322,4,C D G A
323,5,C D♭ D G A
324,4,C E♭ G A
325,5,C D♭ E♭ G A
326,5,C D E♭ G A
327,6,C D♭ D E♭ G A
328,4,C E G A
329,5,C D♭ E G A
330,5,C D E G A
331,6,C D♭ D E G A
332,5,C E♭ E G A
333,6,C D♭ E♭ E G A
334,6,C D E♭ E G A
335,7,C D♭ D E♭ E G A
336,4,C F G A
337,5,C D♭ F G A
338,5,C D F G A
339,6,C D♭ D F G A
340,5,C E♭ F G A
341,6,C D♭ E♭ F G A
342,6,C D E♭ F G A
343,7,C D♭ D E♭ F G A
344,5,C E F G A
345,6,C D♭ E F G A
346,6,C D E F G A
347,7,C D♭ D E F G A
348,6,C E♭ E F G A
349,7,C D♭ E♭ E F G A
350,7,C D E♭ E F G A
351,8,C D♭ D E♭ E F G A
352,4,C F♯ G A
353,5,C D♭ F♯ G A
354,5,C D F♯ G A
355,6,C D♭ D F♯ G A
356,5,C E♭ F♯ G A
357,6,C D♭ E♭ F♯ G A
358,6,C D E♭ F♯ G A
359,7,C D♭ D E♭ F♯ G A
360,5,C E F♯ G A
361,6,C D♭ E F♯ G A
362,6,C D E F♯ G A
363,7,C D♭ D E F♯ G A
364,6,C E♭ E F♯ G A
365,7,C D♭ E♭ E F♯ G A
366,7,C D E♭ E F♯ G A
367,8,C D♭ D E♭ E F♯ G A
368,5,C F F♯ G A
369,6,C D♭ F F♯ G A
370,6,C D F F♯ G A
371,7,C D♭ D F F♯ G A
372,6,C E♭ F F♯ G A
373,7,C D♭ E♭ F F♯ G A
374,7,C D E♭ F F♯ G A
375,8,C D♭ D E♭ F F♯ G A
376,6,C E F F♯ G A
377,7,C D♭ E F F♯ G A
378,7,C D E F F♯ G A
379,8,C D♭ D E F F♯ G A
380,7,C E♭ E F F♯ G A
381,8,C D♭ E♭ E F F♯ G A
382,8,C D E♭ E F F♯ G A
383,9,C D♭ D E♭ E F F♯ G A
384,3,C A♭ A
385,4,C D♭ A♭ A
386,4,C D A♭ A
387,5,C D♭ D A♭ A
388,4,C E♭ A♭ A
389,5,C D♭ E♭ A♭ A
390,5,C D E♭ A♭ A
391,6,C D♭ D E♭ A♭ A
392,4,C E A♭ A
393,5,C D♭ E A♭ A
394,5,C D E A♭ A
395,6,C D♭ D E A♭ A
396,5,C E♭ E A♭ A
397,6,C D♭ E♭ E A♭ A
398,6,C D E♭ E A♭ A
399,7,C D♭ D E♭ E A♭ A
400,4,C F A♭ A
401,5,C D♭ F A♭ A
402,5,C D F A♭ A
403,6,C D♭ D F A♭ A
404,5,C E♭ F A♭ A
405,6,C D♭ E♭ F A♭ A
406,6,C D E♭ F A♭ A
407,7,C D♭ D E♭ F A♭ A
408,5,C E F A♭ A
409,6,C D♭ E F A♭ A
410,6,C D E F A♭ A
411,7,C D♭ D E F A♭ A
412,6,C E♭ E F A♭ A
413,7,C D♭ E♭ E F A♭ A
