bits_1_11,note_count,notes
815,8,C D♭ D E♭ E F♯ A B♭
816,5,C F F♯ A B♭
817,6,C D♭ F F♯ A B♭
818,6,C D F F♯ A B♭
819,7,C D♭ D F F♯ A B♭
820,6,C E♭ F F♯ A B♭
821,7,C D♭ E♭ F F♯ A B♭
822,7,C D E♭ F F♯ A B♭
823,8,C D♭ D E♭ F F♯ A B♭
824,6,C E F F♯ A B♭
825,7,C D♭ E F F♯ A B♭
826,7,C D E F F♯ A B♭
827,8,C D♭ D E F F♯ A B♭
828,7,C E♭ E F F♯ A B♭
829,8,C D♭ E♭ E F F♯ A B♭
830,8,C D E♭ E F F♯ A B♭
831,9,C D♭ D E♭ E F F♯ A B♭
832,4,C G A B♭
833,5,C D♭ G A B♭
834,5,C D G A B♭
835,6,C D♭ D G A B♭
836,5,C E♭ G A B♭
837,6,C D♭ E♭ G A B♭
838,6,C D E♭ G A B♭
839,7,C D♭ D E♭ G A B♭
840,5,C E G A B♭
841,6,C D♭ E G A B♭
842,6,C D E G A B♭
843,7,C D♭ D E G A B♭
844,6,C E♭ E G A B♭
845,7,C D♭ E♭ E G A B♭
846,7,C D E♭ E G A B♭
847,8,C D♭ D E♭ E G A B♭
848,5,C F G A B♭
849,6,C D♭ F G A B♭
850,6,C D F G A B♭
851,7,C D♭ D F G A B♭
852,6,C E♭ F G A B♭
853,7,C D♭ E♭ F G A B♭
854,7,C D E♭ F G A B♭
855,8,C D♭ D E♭ F G A B♭
856,6,C E F G A B♭
857,7,C D♭ E F G A B♭
858,7,C D E F G A B♭
859,8,C D♭ D E F G A B♭
860,7,C E♭ E F G A B♭
861,8,C D♭ E♭ E F G A B♭
862,8,C D E♭ E F G A B♭
863,9,C D♭ D E♭ E F G A B♭
864,5,C F♯ G A B♭
865,6,C D♭ F♯ G A B♭
866,6,C D F♯ G A B♭
867,7,C D♭ D F♯ G A B♭
868,6,C E♭ F♯ G A B♭
869,7,C D♭ E♭ F♯ G A B♭
870,7,C D E♭ F♯ G A B♭
871,8,C D♭ D E♭ F♯ G A B♭
872,6,C E F♯ G A B♭
873,7,C D♭ E F♯ G A B♭
874,7,C D E F♯ G A B♭
875,8,C D♭ D E F♯ G A B♭
876,7,C E♭ E F♯ G A B♭
877,8,C D♭ E♭ E F♯ G A B♭
878,8,C D E♭ E F♯ G A B♭
879,9,C D♭ D E♭ E F♯ G A B♭
880,6,C F F♯ G A B♭
881,7,C D♭ F F♯ G A B♭
882,7,C D F F♯ G A B♭
883,8,C D♭ D F F♯ G A B♭
884,7,C E♭ F F♯ G A B♭
885,8,C D♭ E♭ F F♯ G A B♭
886,8,C D E♭ F F♯ G A B♭
887,9,C D♭ D E♭ F F♯ G A B♭
888,7,C E F F♯ G A B♭
889,8,C D♭ E F F♯ G A B♭
890,8,C D E F F♯ G A B♭
891,9,C D♭ D E F F♯ G A B♭
892,8,C E♭ E F F♯ G A B♭
893,9,C D♭ E♭ E F F♯ G A B♭
894,9,C D E♭ E F F♯ G A B♭
895,10,C D♭ D E♭ E F F♯ G A B♭
896,4,C A♭ A B♭
897,5,C D♭ A♭ A B♭
898,5,C D A♭ A B♭
899,6,C D♭ D A♭ A B♭
900,5,C E♭ A♭ A B♭
901,6,C D♭ E♭ A♭ A B♭
902,6,C D E♭ A♭ A B♭
903,7,C D♭ D E♭ A♭ A B♭
904,5,C E A♭ A B♭
905,6,C D♭ E A♭ A B♭
906,6,C D E A♭ A B♭
907,7,C D♭ D E A♭ A B♭
908,6,C E♭ E A♭ A B♭
909,7,C D♭ E♭ E A♭ A B♭
910,7,C D E♭ E A♭ A B♭
911,8,C D♭ D E♭ E A♭ A B♭
912,5,C F A♭ A B♭
913,6,C D♭ F A♭ A B♭
914,6,C D F A♭ A B♭
915,7,C D♭ D F A♭ A B♭
916,6,C E♭ F A♭ A B♭
917,7,C D♭ E♭ F A♭ A B♭
918,7,C D E♭ F A♭ A B♭
919,8,C D♭ D E♭ F A♭ A B♭
920,6,C E F A♭ A B♭
921,7,C D♭ E F A♭ A B♭
922,7,C D E F A♭ A B♭
923,8,C D♭ D E F A♭ A B♭
924,7,C E♭ E F A♭ A B♭
925,8,C D♭ E♭ E F A♭ A B♭
926,8,C D E♭ E F A♭ A B♭
927,9,C D♭ D E♭ E F A♭ A B♭
928,5,C F♯ A♭ A B♭
929,6,C D♭ F♯ A♭ A B♭
930,6,C D F♯ A♭ A B♭
931,7,C D♭ D F♯ A♭ A B♭
932,6,C E♭ F♯ A♭ A B♭
933,7,C D♭ E♭ F♯ A♭ A B♭
934,7,C D E♭ F♯ A♭ A B♭
935,8,C D♭ D E♭ F♯ A♭ A B♭
936,6,C E F♯ A♭ A B♭
937,7,C D♭ E F♯ A♭ A B♭
938,7,C D E F♯ A♭ A B♭
939,8,C D♭ D E F♯ A♭ A B♭
940,7,C E♭ E F♯ A♭ A B♭
941,8,C D♭ E♭ E F♯ A♭ A B♭
942,8,C D E♭ E F♯ A♭ A B♭
943,9,C D♭ D E♭ E F♯ A♭ A B♭
944,6,C F F♯ A♭ A B♭
945,7,C D♭ F F♯ A♭ A B♭
946,7,C D F F♯ A♭ A B♭
947,8,C D♭ D F F♯ A♭ A B♭
948,7,C E♭ F F♯ A♭ A B♭
949,8,C D♭ E♭ F F♯ A♭ A B♭
950,8,C D E♭ F F♯ A♭ A B♭
951,9,C D♭ D E♭ F F♯ A♭ A B♭
952,7,C E F F♯ A♭ A B♭
953,8,C D♭ E F F♯ A♭ A B♭
954,8,C D E F F♯ A♭ A B♭
955,9,C D♭ D E F F♯ A♭ A B♭
956,8,C E♭ E F F♯ A♭ A B♭
957,9,C D♭ E♭ E F F♯ A♭ A B♭
958,9,C D E♭ E F F♯ A♭ A B♭
959,10,C D♭ D E♭ E F F♯ A♭ A B♭
960,5,C G A♭ A B♭
961,6,C D♭ G A♭ A B♭
962,6,C D G A♭ A B♭
963,7,C D♭ D G A♭ A B♭
964,6,C E♭ G A♭ A B♭
965,7,C D♭ E♭ G A♭ A B♭
966,7,C D E♭ G A♭ A B♭
967,8,C D♭ D E♭ G A♭ A B♭
968,6,C E G A♭ A B♭
969,7,C D♭ E G A♭ A B♭
970,7,C D E G A♭ A B♭
971,8,C D♭ D E G A♭ A B♭
972,7,C E♭ E G A♭ A B♭
973,8,C D♭ E♭ E G A♭ A B♭
974,8,C D E♭ E G A♭ A B♭
975,9,C D♭ D E♭ E G A♭ A B♭
976,6,C F G A♭ A B♭
977,7,C D♭ F G A♭ A B♭
978,7,C D F G A♭ A B♭
979,8,C D♭ D F G A♭ A B♭
980,7,C E♭ F G A♭ A B♭
981,8,C D♭ E♭ F G A♭ A B♭
982,8,C D E♭ F G A♭ A B♭
983,9,C D♭ D E♭ F G A♭ A B♭
984,7,C E F G A♭ A B♭
985,8,C D♭ E F G A♭ A B♭
986,8,C D E F G A♭ A B♭
987,9,C D♭ D E F G A♭ A B♭
988,8,C E♭ E F G A♭ A B♭
989,9,C D♭ E♭ E F G A♭ A B♭
990,9,C D E♭ E F G A♭ A B♭
991,10,C D♭ D E♭ E F G A♭ A B♭
992,6,C F♯ G A♭ A B♭
993,7,C D♭ F♯ G A♭ A B♭
994,7,C D F♯ G A♭ A B♭
995,8,C D♭ D F♯ G A♭ A B♭
996,7,C E♭ F♯ G A♭ A B♭
997,8,C D♭ E♭ F♯ G A♭ A B♭
998,8,C D E♭ F♯ G A♭ A B♭
999,9,C D♭ D E♭ F♯ G A♭ A B♭
1000,7,C E F♯ G A♭ A B♭
1001,8,C D♭ E F♯ G A♭ A B♭
1002,8,C D E F♯ G A♭ A B♭
1003,9,C D♭ D E F♯ G A♭ A B♭
1004,8,C E♭ E F♯ G A♭ A B♭
1005,9,C D♭ E♭ E F♯ G A♭ A B♭
1006,9,C D E♭ E F♯ G A♭ A B♭
1007,10,C D♭ D E♭ E F♯ G A♭ A B♭
1008,7,C F F♯ G A♭ A B♭
1009,8,C D♭ F F♯ G A♭ A B♭
1010,8,C D F F♯ G A♭ A B♭
1011,9,C D♭ D F F♯ G A♭ A B♭
1012,8,C E♭ F F♯ G A♭ A B♭
1013,9,C D♭ E♭ F F♯ G A♭ A B♭
1014,9,C D E♭ F F♯ G A♭ A B♭
1015,10,C D♭ D E♭ F F♯ G A♭ A B♭
1016,8,C E F F♯ G A♭ A B♭
1017,9,C D♭ E F F♯ G A♭ A B♭
1018,9,C D E F F♯ G A♭ A B♭
1019,10,C D♭ D E F F♯ G A♭ A B♭
1020,9,C E♭ E F F♯ G A♭ A B♭
1021,10,C D♭ E♭ E F F♯ G A♭ A B♭
1022,10,C D E♭ E F F♯ G A♭ A B♭
1023,11,C D♭ D E♭ E F F♯ G A♭ A B♭
1024,2,C B
1025,3,C D♭ B
1026,3,C D B
1027,4,C D♭ D B
1028,3,C E♭ B
1029,4,C D♭ E♭ B
1030,4,C D E♭ B
1031,5,C D♭ D E♭ B
1032,3,C E B
1033,4,C D♭ E B
1034,4,C D E B
1035,5,C D♭ D E B
1036,4,C E♭ E B
1037,5,C D♭ E♭ E B
1038,5,C D E♭ E B
1039,6,C D♭ D E♭ E B
1040,3,C F B
1041,4,C D♭ F B
1042,4,C D F B
1043,5,C D♭ D F B
1044,4,C E♭ F B
1045,5,C D♭ E♭ F B
1046,5,C D E♭ F B
1047,6,C D♭ D E♭ F B
1048,4,C E F B
1049,5,C D♭ E F B
1050,5,C D E F B
1051,6,C D♭ D E F B
1052,5,C E♭ E F B
1053,6,C D♭ E♭ E F B
1054,6,C D E♭ E F B
1055,7,C D♭ D E♭ E F B
1056,3,C F♯ B
1057,4,C D♭ F♯ B
1058,4,C D F♯ B
1059,5,C D♭ D F♯ B
1060,4,C E♭ F♯ B
1061,5,C D♭ E♭ F♯ B
1062,5,C D E♭ F♯ B
1063,6,C D♭ D E♭ F♯ B
1064,4,C E F♯ B
1065,5,C D♭ E F♯ B
1066,5,C D E F♯ B
1067,6,C D♭ D E F♯ B
1068,5,C E♭ E F♯ B
1069,6,C D♭ E♭ E F♯ B
1070,6,C D E♭ E F♯ B
1071,7,C D♭ D E♭ E F♯ B
1072,4,C F F♯ B
1073,5,C D♭ F F♯ B
1074,5,C D F F♯ B
1075,6,C D♭ D F F♯ B
1076,5,C E♭ F F♯ B
1077,6,C D♭ E♭ F F♯ B
1078,6,C D E♭ F F♯ B
1079,7,C D♭ D E♭ F F♯ B
1080,5,C E F F♯ B
1081,6,C D♭ E F F♯ B
1082,6,C D E F F♯ B
1083,7,C D♭ D E F F♯ B
1084,6,C E♭ E F F♯ B
1085,7,C D♭ E♭ E F F♯ B
1086,7,C D E♭ E F F♯ B
1087,8,C D♭ D E♭ E F F♯ B
1088,3,C G B
1089,4,C D♭ G B
1090,4,C D G B
1091,5,C D♭ D G B
1092,4,C E♭ G B
1093,5,C D♭ E♭ G B
1094,5,C D E♭ G B
1095,6,C D♭ D E♭ G B
1096,4,C E G B
1097,5,C D♭ E G B
1098,5,C D E G B
1099,6,C D♭ D E G B
1100,5,C E♭ E G B
1101,6,C D♭ E♭ E G B
1102,6,C D E♭ E G B
1103,7,C D♭ D E♭ E G B
1104,4,C F G B
1105,5,C D♭ F G B
1106,5,C D F G B
1107,6,C D♭ D F G B
1108,5,C E♭ F G B
1109,6,C D♭ E♭ F G B
1110,6,C D E♭ F G B
1111,7,C D♭ D E♭ F G B
1112,5,C E F G B
1113,6,C D♭ E F G B
1114,6,C D E F G B
1115,7,C D♭ D E F G B
1116,6,C E♭ E F G B
1117,7,C D♭ E♭ E F G B
1118,7,C D E♭ E F G B
1119,8,C D♭ D E♭ E F G B
1120,4,C F♯ G B
1121,5,C D♭ F♯ G B
1122,5,C D F♯ G B
1123,6,C D♭ D F♯ G B
1124,5,C E♭ F♯ G B
1125,6,C D♭ E♭ F♯ G B
1126,6,C D E♭ F♯ G B
1127,7,C D♭ D E♭ F♯ G B
1128,5,C E F♯ G B
1129,6,C D♭ E F♯ G B
1130,6,C D E F♯ G B
1131,7,C D♭ D E F♯ G B
1132,6,C E♭ E F♯ G B
1133,7,C D♭ E♭ E F♯ G B
1134,7,C D E♭ E F♯ G B
1135,8,C D♭ D E♭ E F♯ G B
1136,5,C F F♯ G B
1137,6,C D♭ F F♯ G B
1138,6,C D F F♯ G B
1139,7,C D♭ D F F♯ G B
1140,6,C E♭ F F♯ G B
1141,7,C D♭ E♭ F F♯ G B
1142,7,C D E♭ F F♯ G B
1143,8,C D♭ D E♭ F F♯ G B
1144,6,C E F F♯ G B
1145,7,C D♭ E F F♯ G B
1146,7,C D E F F♯ G B
1147,8,C D♭ D E F F♯ G B
1148,7,C E♭ E F F♯ G B
1149,8,C D♭ E♭ E F F♯ G B
1150,8,C D E♭ E F F♯ G B
1151,9,C D♭ D E♭ E F F♯ G B
1152,3,C A♭ B
1153,4,C D♭ A♭ B
1154,4,C D A♭ B
1155,5,C D♭ D A♭ B
1156,4,C E♭ A♭ B
1157,5,C D♭ E♭ A♭ B
1158,5,C D E♭ A♭ B
1159,6,C D♭ D E♭ A♭ B
1160,4,C E A♭ B
1161,5,C D♭ E A♭ B
1162,5,C D E A♭ B
1163,6,C D♭ D E A♭ B
1164,5,C E♭ E A♭ B
1165,6,C D♭ E♭ E A♭ B
1166,6,C D E♭ E A♭ B
1167,7,C D♭ D E♭ E A♭ B
1168,4,C F A♭ B
1169,5,C D♭ F A♭ B
1170,5,C D F A♭ B
1171,6,C D♭ D F A♭ B
1172,5,C E♭ F A♭ B
1173,6,C D♭ E♭ F A♭ B
1174,6,C D E♭ F A♭ B
1175,7,C D♭ D E♭ F A♭ B
1176,5,C E F A♭ B
1177,6,C D♭ E F A♭ B
1178,6,C D E F A♭ B
1179,7,C D♭ D E F A♭ B
1180,6,C E♭ E F A♭ B
1181,7,C D♭ E♭ E F A♭ B
1182,7,C D E♭ E F A♭ B
1183,8,C D♭ D E♭ E F A♭ B
1184,4,C F♯ A♭ B
1185,5,C D♭ F♯ A♭ B
1186,5,C D F♯ A♭ B
1187,6,C D♭ D F♯ A♭ B
1188,5,C E♭ F♯ A♭ B
1189,6,C D♭ E♭ F♯ A♭ B
1190,6,C D E♭ F♯ A♭ B
1191,7,C D♭ D E♭ F♯ A♭ B
1192,5,C E F♯ A♭ B
1193,6,C D♭ E F♯ A♭ B
1194,6,C D E F♯ A♭ B
1195,7,C D♭ D E F♯ A♭ B
1196,6,C E♭ E F♯ A♭ B
1197,7,C D♭ E♭ E F♯ A♭ B
1198,7,C D E♭ E F♯ A♭ B
1199,8,C D♭ D E♭ E F♯ A♭ B
1200,5,C F F♯ A♭ B
1201,6,C D♭ F F♯ A♭ B
1202,6,C D F F♯ A♭ B
1203,7,C D♭ D F F♯ A♭ B
1204,6,C E♭ F F♯ A♭ B
1205,7,C D♭ E♭ F F♯ A♭ B
1206,7,C D E♭ F F♯ A♭ B
1207,8,C D♭ D E♭ F F♯ A♭ B
1208,6,C E F F♯ A♭ B
1209,7,C D♭ E F F♯ A♭ B
1210,7,C D E F F♯ A♭ B
1211,8,C D♭ D E F F♯ A♭ B
1212,7,C E♭ E F F♯ A♭ B
1213,8,C D♭ E♭ E F F♯ A♭ B
1214,8,C D E♭ E F F♯ A♭ B
1215,9,C D♭ D E♭ E F F♯ A♭ B
1216,4,C G A♭ B
1217,5,C D♭ G A♭ B
1218,5,C D G A♭ B
1219,6,C D♭ D G A♭ B
1220,5,C E♭ G A♭ B
1221,6,C D♭ E♭ G A♭ B
1222,6,C D E♭ G A♭ B
1223,7,C D♭ D E♭ G A♭ B
1224,5,C E G A♭ B
1225,6,C D♭ E G A♭ B
1226,6,C D E G A♭ B
1227,7,C D♭ D E G A♭ B
1228,6,C E♭ E G A♭ B
1229,7,C D♭ E♭ E G A♭ B
1230,7,C D E♭ E G A♭ B
1231,8,C D♭ D E♭ E G A♭ B
1232,5,C F G A♭ B
1233,6,C D♭ F G A♭ B
1234,6,C D F G A♭ B
1235,7,C D♭ D F G A♭ B
1236,6,C E♭ F G A♭ B
1237,7,C D♭ E♭ F G A♭ B
1238,7,C D E♭ F G A♭ B
1239,8,C D♭ D E♭ F G A♭ B
1240,6,C E F G A♭ B
1241,7,C D♭ E F G A♭ B
1242,7,C D E F G A♭ B
1243,8,C D♭ D E F G A♭ B
1244,7,C E♭ E F G A♭ B
1245,8,C D♭ E♭ E F G A♭ B
1246,8,C D E♭ E F G A♭ B
1247,9,C D♭ D E♭ E F G A♭ B
1248,5,C F♯ G A♭ B
1249,6,C D♭ F♯ G A♭ B
1250,6,C D F♯ G A♭ B
1251,7,C D♭ D F♯ G A♭ B
1252,6,C E♭ F♯ G A♭ B
1253,7,C D♭ E♭ F♯ G A♭ B
1254,7,C D E♭ F♯ G A♭ B
1255,8,C D♭ D E♭ F♯ G A♭ B
1256,6,C E F♯ G A♭ B
1257,7,C D♭ E F♯ G A♭ B
1258,7,C D E F♯ G A♭ B
1259,8,C D♭ D E F♯ G A♭ B
1260,7,C E♭ E F♯ G A♭ B
1261,8,C D♭ E♭ E F♯ G A♭ B
1262,8,C D E♭ E F♯ G A♭ B
1263,9,C D♭ D E♭ E F♯ G A♭ B
1264,6,C F F♯ G A♭ B
1265,7,C D♭ F F♯ G A♭ B
1266,7,C D F F♯ G A♭ B
1267,8,C D♭ D F F♯ G A♭ B
1268,7,C E♭ F F♯ G A♭ B
1269,8,C D♭ E♭ F F♯ G A♭ B
1270,8,C D E♭ F F♯ G A♭ B
1271,9,C D♭ D E♭ F F♯ G A♭ B
1272,7,C E F F♯ G A♭ B
1273,8,C D♭ E F F♯ G A♭ B
1274,8,C D E F F♯ G A♭ B
1275,9,C D♭ D E F F♯ G A♭ B
1276,8,C E♭ E F F♯ G A♭ B
1277,9,C D♭ E♭ E F F♯ G A♭ B
1278,9,C D E♭ E F F♯ G A♭ B
1279,10,C D♭ D E♭ E F F♯ G A♭ B
1280,3,C A B
1281,4,C D♭ A B
1282,4,C D A B
1283,5,C D♭ D A B
1284,4,C E♭ A B
1285,5,C D♭ E♭ A B
1286,5,C D E♭ A B
1287,6,C D♭ D E♭ A B
1288,4,C E A B
1289,5,C D♭ E A B
1290,5,C D E A B
1291,6,C D♭ D E A B
1292,5,C E♭ E A B
1293,6,C D♭ E♭ E A B
1294,6,C D E♭ E A B
1295,7,C D♭ D E♭ E A B
1296,4,C F A B
1297,5,C D♭ F A B
1298,5,C D F A B
1299,6,C D♭ D F A B
1300,5,C E♭ F A B
1301,6,C D♭ E♭ F A B
1302,6,C D E♭ F A B
1303,7,C D♭ D E♭ F A B
1304,5,C E F A B
1305,6,C D♭ E F A B
1306,6,C D E F A B
1307,7,C D♭ D E F A B
1308,6,C E♭ E F A B
1309,7,C D♭ E♭ E F A B
1310,7,C D E♭ E F A B
1311,8,C D♭ D E♭ E F A B
1312,4,C F♯ A B
1313,5,C D♭ F♯ A B
1314,5,C D F♯ A B
1315,6,C D♭ D F♯ A B
1316,5,C E♭ F♯ A B
1317,6,C D♭ E♭ F♯ A B
1318,6,C D E♭ F♯ A B
1319,7,C D♭ D E♭ F♯ A B
1320,5,C E F♯ A B
1321,6,C D♭ E F♯ A B
1322,6,C D E F♯ A B
1323,7,C D♭ D E F♯ A B
1324,6,C E♭ E F♯ A B
1325,7,C D♭ E♭ E F♯ A B
1326,7,C D E♭ E F♯ A B
1327,8,C D♭ D E♭ E F♯ A B
1328,5,C F F♯ A B
1329,6,C D♭ F F♯ A B
1330,6,C D F F♯ A B
1331,7,C D♭ D F F♯ A B
1332,6,C E♭ F F♯ A B
1333,7,C D♭ E♭ F F♯ A B
1334,7,C D E♭ F F♯ A B
1335,8,C D♭ D E♭ F F♯ A B
1336,6,C E F F♯ A B
1337,7,C D♭ E F F♯ A B
1338,7,C D E F F♯ A B
1339,8,C D♭ D E F F♯ A B
1340,7,C E♭ E F F♯ A B
1341,8,C D♭ E♭ E F F♯ A B
1342,8,C D E♭ E F F♯ A B
1343,9,C D♭ D E♭ E F F♯ A B
1344,4,C G A B
1345,5,C D♭ G A B
1346,5,C D G A B
1347,6,C D♭ D G A B
1348,5,C E♭ G A B
1349,6,C D♭ E♭ G A B
1350,6,C D E♭ G A B
1351,7,C D♭ D E♭ G A B
1352,5,C E G A B
1353,6,C D♭ E G A B
1354,6,C D E G A B
1355,7,C D♭ D E G A B
1356,6,C E♭ E G A B
1357,7,C D♭ E♭ E G A B
1358,7,C D E♭ E G A B
1359,8,C D♭ D E♭ E G A B
1360,5,C F G A B
1361,6,C D♭ F G A B
1362,6,C D F G A B
1363,7,C D♭ D F G A B
1364,6,C E♭ F G A B
1365,7,C D♭ E♭ F G A B
1366,7,C D E♭ F G A B
1367,8,C D♭ D E♭ F G A B
1368,6,C E F G A B
1369,7,C D♭ E F G A B
1370,7,C D E F G A B
1371,8,C D♭ D E F G A B
1372,7,C E♭ E F G A B
1373,8,C D♭ E♭ E F G A B
1374,8,C D E♭ E F G A B
1375,9,C D♭ D E♭ E F G A B
1376,5,C F♯ G A B
1377,6,C D♭ F♯ G A B
1378,6,C D F♯ G A B
1379,7,C D♭ D F♯ G A B
1380,6,C E♭ F♯ G A B
1381,7,C D♭ E♭ F♯ G A B
1382,7,C D E♭ F♯ G A B
1383,8,C D♭ D E♭ F♯ G A B
1384,6,C E F♯ G A B
1385,7,C D♭ E F♯ G A B
1386,7,C D E F♯ G A B
1387,8,C D♭ D E F♯ G A B
1388,7,C E♭ E F♯ G A B
1389,8,C D♭ E♭ E F♯ G A B
1390,8,C D E♭ E F♯ G A B
1391,9,C D♭ D E♭ E F♯ G A B
1392,6,C F F♯ G A B
1393,7,C D♭ F F♯ G A B
1394,7,C D F F♯ G A B
1395,8,C D♭ D F F♯ G A B
1396,7,C E♭ F F♯ G A B
1397,8,C D♭ E♭ F F♯ G A B
1398,8,C D E♭ F F♯ G A B
1399,9,C D♭ D E♭ F F♯ G A B
1400,7,C E F F♯ G A B
1401,8,C D♭ E F F♯ G A B
1402,8,C D E F F♯ G A B
1403,9,C D♭ D E F F♯ G A B
1404,8,C E♭ E F F♯ G A B
1405,9,C D♭ E♭ E F F♯ G A B
1406,9,C D E♭ E F F♯ G A B
1407,10,C D♭ D E♭ E F F♯ G A B
1408,4,C A♭ A B
1409,5,C D♭ A♭ A B
1410,5,C D A♭ A B
1411,6,C D♭ D A♭ A B
1412,5,C E♭ A♭ A B
1413,6,C D♭ E♭ A♭ A B
1414,6,C D E♭ A♭ A B
1415,7,C D♭ D E♭ A♭ A B
1416,5,C E A♭ A B
1417,6,C D♭ E A♭ A B
1418,6,C D E A♭ A B
1419,7,C D♭ D E A♭ A B
1420,6,C E♭ E A♭ A B
1421,7,C D♭ E♭ E A♭ A B
1422,7,C D E♭ E A♭ A B
1423,8,C D♭ D E♭ E A♭ A B
1424,5,C F A♭ A B
1425,6,C D♭ F A♭ A B
1426,6,C D F A♭ A B
1427,7,C D♭ D F A♭ A B
1428,6,C E♭ F A♭ A B
1429,7,C D♭ E♭ F A♭ A B
1430,7,C D E♭ F A♭ A B
1431,8,C D♭ D E♭ F A♭ A B
1432,6,C E F A♭ A B
1433,7,C D♭ E F A♭ A B
1434,7,C D E F A♭ A B
1435,8,C D♭ D E F A♭ A B
1436,7,C E♭ E F A♭ A B
1437,8,C D♭ E♭ E F A♭ A B
1438,8,C D E♭ E F A♭ A B
1439,9,C D♭ D E♭ E F A♭ A B
1440,5,C F♯ A♭ A B
1441,6,C D♭ F♯ A♭ A B
1442,6,C D F♯ A♭ A B
1443,7,C D♭ D F♯ A♭ A B
1444,6,C E♭ F♯ A♭ A B
1445,7,C D♭ E♭ F♯ A♭ A B
1446,7,C D E♭ F♯ A♭ A B
1447,8,C D♭ D E♭ F♯ A♭ A B
1448,6,C E F♯ A♭ A B
1449,7,C D♭ E F♯ A♭ A B
1450,7,C D E F♯ A♭ A B
1451,8,C D♭ D E F♯ A♭ A B
1452,7,C E♭ E F♯ A♭ A B
1453,8,C D♭ E♭ E F♯ A♭ A B
1454,8,C D E♭ E F♯ A♭ A B
1455,9,C D♭ D E♭ E F♯ A♭ A B
1456,6,C F F♯ A♭ A B
1457,7,C D♭ F F♯ A♭ A B
1458,7,C D F F♯ A♭ A B
1459,8,C D♭ D F F♯ A♭ A B
1460,7,C E♭ F F♯ A♭ A B
1461,8,C D♭ E♭ F F♯ A♭ A B
1462,8,C D E♭ F F♯ A♭ A B
1463,9,C D♭ D E♭ F F♯ A♭ A B
1464,7,C E F F♯ A♭ A B
1465,8,C D♭ E F F♯ A♭ A B
1466,8,C D E F F♯ A♭ A B
1467,9,C D♭ D E F F♯ A♭ A B
1468,8,C E♭ E F F♯ A♭ A B
1469,9,C D♭ E♭ E F F♯ A♭ A B
1470,9,C D E♭ E F F♯ A♭ A B
1471,10,C D♭ D E♭ E F F♯ A♭ A B
1472,5,C G A♭ A B
1473,6,C D♭ G A♭ A B
1474,6,C D G A♭ A B
1475,7,C D♭ D G A♭ A B
1476,6,C E♭ G A♭ A B
1477,7,C D♭ E♭ G A♭ A B
1478,7,C D E♭ G A♭ A B
1479,8,C D♭ D E♭ G A♭ A B
1480,6,C E G A♭ A B
1481,7,C D♭ E G A♭ A B
1482,7,C D E G A♭ A B
1483,8,C D♭ D E G A♭ A B
1484,7,C E♭ E G A♭ A B
1485,8,C D♭ E♭ E G A♭ A B
1486,8,C D E♭ E G A♭ A B
1487,9,C D♭ D E♭ E G A♭ A B
1488,6,C F G A♭ A B
1489,7,C D♭ F G A♭ A B
1490,7,C D F G A♭ A B
1491,8,C D♭ D F G A♭ A B
1492,7,C E♭ F G A♭ A B
1493,8,C D♭ E♭ F G A♭ A B
1494,8,C D E♭ F G A♭ A B
1495,9,C D♭ D E♭ F G A♭ A B
1496,7,C E F G A♭ A B
1497,8,C D♭ E F G A♭ A B
1498,8,C D E F G A♭ A B
1499,9,C D♭ D E F G A♭ A B
1500,8,C E♭ E F G A♭ A B
1501,9,C D♭ E♭ E F G A♭ A B
1502,9,C D E♭ E F G A♭ A B
1503,10,C D♭ D E♭ E F G A♭ A B
1504,6,C F♯ G A♭ A B
1505,7,C D♭ F♯ G A♭ A B
1506,7,C D F♯ G A♭ A B
1507,8,C D♭ D F♯ G A♭ A B
1508,7,C E♭ F♯ G A♭ A B
1509,8,C D♭ E♭ F♯ G A♭ A B
1510,8,C D E♭ F♯ G A♭ A B
1511,9,C D♭ D E♭ F♯ G A♭ A B
1512,7,C E F♯ G A♭ A B
1513,8,C D♭ E F♯ G A♭ A B
1514,8,C D E F♯ G A♭ A B
1515,9,C D♭ D E F♯ G A♭ A B
1516,8,C E♭ E F♯ G A♭ A B
1517,9,C D♭ E♭ E F♯ G A♭ A B
1518,9,C D E♭ E F♯ G A♭ A B
1519,10,C D♭ D E♭ E F♯ G A♭ A B
1520,7,C F F♯ G A♭ A B
1521,8,C D♭ F F♯ G A♭ A B
1522,8,C D F F♯ G A♭ A B
1523,9,C D♭ D F F♯ G A♭ A B
1524,8,C E♭ F F♯ G A♭ A B
1525,9,C D♭ E♭ F F♯ G A♭ A B
1526,9,C D E♭ F F♯ G A♭ A B
1527,10,C D♭ D E♭ F F♯ G A♭ A B
1528,8,C E F F♯ G A♭ A B
1529,9,C D♭ E F F♯ G A♭ A B
1530,9,C D E F F♯ G A♭ A B
1531,10,C D♭ D E F F♯ G A♭ A B
1532,9,C E♭ E F F♯ G A♭ A B
1533,10,C D♭ E♭ E F F♯ G A♭ A B
1534,10,C D E♭ E F F♯ G A♭ A B
1535,11,C D♭ D E♭ E F F♯ G A♭ A B
1536,3,C B♭ B
1537,4,C D♭ B♭ B
1538,4,C D B♭ B
1539,5,C D♭ D B♭ B
1540,4,C E♭ B♭ B
1541,5,C D♭ E♭ B♭ B
1542,5,C D E♭ B♭ B
1543,6,C D♭ D E♭ B♭ B
1544,4,C E B♭ B
